class,symbol,ts,weekday,open,close,volume
us_stocks,APC,2015-05-03,Sunday,90.72564,90.053101,5065535.0
us_stocks,APC,2015-05-10,Sunday,85.38375,82.93378,4053931.0
us_stocks,APC,2015-05-17,Sunday,81.12753,81.64635,3169627.0
us_stocks,APC,2015-05-31,Sunday,80.66636,80.55107,2830521.0
us_stocks,APC,2015-06-07,Sunday,80.49342,79.70559,3846817.0
us_stocks,APC,2015-06-14,Sunday,79.21559,79.42696,1892500.0
us_stocks,APC,2015-06-21,Sunday,79.18677,78.75443,2007299.0
us_stocks,APC,2015-06-28,Sunday,76.94817,75.50702,3931862.0
us_stocks,APC,2015-07-05,Sunday,72.63431,73.38371,3967671.0
us_stocks,APC,2015-07-12,Sunday,72.66313,72.73039,3480853.0
us_stocks,APC,2015-07-19,Sunday,70.72238,69.77122,4795648.0
us_stocks,APC,2015-07-26,Sunday,67.79202,67.24438,4734234.0
us_stocks,APC,2015-08-02,Sunday,70.72238,70.34768,3829043.0
us_stocks,APC,2015-08-09,Sunday,70.44375,72.73039,3446750.0
us_stocks,APC,2015-08-16,Sunday,73.018622,73.53744,2399754.0
us_stocks,APC,2015-08-23,Sunday,58.03059,62.97856,11059381.0
us_stocks,APC,2015-08-30,Sunday,66.90812,68.77201,7077086.0
us_stocks,APC,2015-09-13,Sunday,63.026598,62.45014,3587806.0
us_stocks,APC,2015-09-20,Sunday,63.67031,63.2764,2564573.0
us_stocks,APC,2015-09-27,Sunday,59.44292,57.098641,6347243.0
us_stocks,APC,2015-10-04,Sunday,62.527,63.88168,5365071.0
us_stocks,APC,2015-10-11,Sunday,69.61749,68.30123,4138040.0
us_stocks,APC,2015-10-18,Sunday,69.59828,69.47337,4051128.0
us_stocks,APC,2015-10-25,Sunday,68.84888,66.29322,4820992.0
us_stocks,APC,2015-11-01,Sunday,63.25718,64.73677,4522142.0
us_stocks,APC,2015-11-08,Sunday,66.22597,65.23638,3369583.0
us_stocks,APC,2015-11-15,Sunday,57.76157,59.67351,7089698.0
us_stocks,APC,2015-11-22,Sunday,56.44532,57.98255,6585389.0
us_stocks,APC,2015-11-29,Sunday,58.49176,57.5502,5533085.0
us_stocks,APC,2015-12-06,Sunday,52.63105,51.57421,11092713.0
us_stocks,APC,2015-12-13,Sunday,47.19309,45.72311,11824846.0
us_stocks,APC,2015-12-20,Sunday,44.07058,44.7239,13333245.0
us_stocks,APC,2015-12-27,Sunday,48.24994,47.74073,4945236.0
us_stocks,APC,2016-01-03,Sunday,46.60702,47.2027,5909308.0
us_stocks,APC,2016-01-10,Sunday,38.96889,36.26912,10090936.0
us_stocks,APC,2016-01-24,Sunday,33.24269,31.042523,9761636.0
us_stocks,APC,2016-01-31,Sunday,37.028128,36.7495,9735242.0
us_stocks,APC,2016-02-07,Sunday,36.40363,38.47889,8300482.0
us_stocks,APC,2016-02-21,Sunday,34.98168,35.88481,7094628.0
us_stocks,APC,2016-02-28,Sunday,36.57656,36.46127,7924190.0
us_stocks,APC,2016-03-06,Sunday,43.21549,43.33079,9934588.0
us_stocks,APC,2016-03-13,Sunday,43.4749,44.49332,6291621.0
us_stocks,APC,2016-03-20,Sunday,46.91447,46.7031,5803845.0
us_stocks,APC,2016-03-27,Sunday,44.78155,43.84,6189351.0
us_stocks,APC,2016-04-03,Sunday,44.11862,42.84079,4417957.0
us_stocks,APC,2016-04-10,Sunday,46.85682,45.66546,4063930.0
us_stocks,APC,2016-04-17,Sunday,45.12743,48.16347,4671202.0
us_stocks,APC,2016-04-24,Sunday,50.085011,49.085808,5187068.0
us_stocks,APC,2016-05-01,Sunday,50.55579,49.91207,5067521.0
us_stocks,APC,2016-05-08,Sunday,44.26274,43.2251,4152244.0
us_stocks,APC,2016-05-15,Sunday,46.60702,47.24112,7049727.0
us_stocks,APC,2016-05-22,Sunday,46.97211,47.26995,4022284.0
us_stocks,APC,2016-06-05,Sunday,49.96011,51.1899,3572628.0
us_stocks,APC,2016-06-12,Sunday,50.4501,50.99774,3904249.0
us_stocks,APC,2016-06-19,Sunday,53.69751,52.69831,4383867.0
us_stocks,APC,2016-06-26,Sunday,50.036973,47.55818,8149924.0
us_stocks,APC,2016-07-10,Sunday,53.96652,53.66869,2990400.0
us_stocks,APC,2016-07-17,Sunday,52.58301,52.9385,4760512.0
