class,tf,symbol,ts,action,field,was,now
crypto,1h,BTC_USD,2023-07-03 14:00:00,clamp_wick,Low,3.0708,30653.83
crypto,1h,BTC_USD,2023-07-03 22:00:00,clamp_wick,Low,3.1116,31050.22
crypto,1h,BTC_USD,2023-07-05 01:00:00,clamp_wick,Low,3.0806,30762.27
crypto,1h,BTC_USD,2023-07-08 19:00:00,clamp_wick,Low,3.0112,30112.0
crypto,1h,BTC_USD,2023-07-09 01:00:00,clamp_wick,Low,3.03,30332.26
crypto,1h,BTC_USD,2023-07-10 03:00:00,clamp_wick,Low,3.0162,30156.17
crypto,1h,BTC_USD,2023-07-10 07:00:00,clamp_wick,Low,3.0088,30089.65
crypto,1h,BTC_USD,2023-07-10 23:00:00,clamp_wick,Low,3.0372,30347.38
crypto,1h,BTC_USD,2023-07-11 06:00:00,clamp_wick,Low,3.0495,30456.01
crypto,1h,BTC_USD,2023-07-11 08:00:00,clamp_wick,Low,3.0548,30495.91
crypto,1h,BTC_USD,2023-07-11 23:00:00,clamp_wick,Low,3.0608,30584.57
crypto,1h,BTC_USD,2023-07-12 06:00:00,clamp_wick,Low,3.0746,30654.01
crypto,1h,BTC_USD,2023-07-12 13:00:00,clamp_wick,Low,3.079,30666.33
crypto,1h,BTC_USD,2023-07-13 06:00:00,clamp_wick,Low,3.0336,30323.01
crypto,1h,BTC_USD,2023-07-14 14:00:00,clamp_wick,Low,3.1215,31253.44
crypto,1h,BTC_USD,2023-07-16 07:00:00,clamp_wick,Low,3.025,30258.76
crypto,1h,BTC_USD,2023-07-16 11:00:00,clamp_wick,Low,3.0318,30290.0
crypto,1h,BTC_USD,2023-07-16 16:00:00,clamp_wick,Low,3.032,30364.17
crypto,1h,BTC_USD,2023-07-17 18:00:00,clamp_wick,Low,3.0052,29802.39
crypto,1h,BTC_USD,2023-07-18 12:00:00,clamp_wick,Low,2.988,29784.0
crypto,1h,BTC_USD,2023-07-18 22:00:00,clamp_wick,Low,2.9812,29800.86
crypto,1h,BTC_USD,2023-07-19 11:00:00,clamp_wick,Low,2.9995,29987.99
crypto,1h,BTC_USD,2023-07-19 23:00:00,clamp_wick,Low,2.9904,29872.81
crypto,1h,BTC_USD,2023-07-20 00:00:00,clamp_wick,Low,2.9902,29909.21
crypto,1h,BTC_USD,2023-07-20 02:00:00,clamp_wick,Low,3.0012,29985.53
crypto,1h,BTC_USD,2023-07-20 06:00:00,clamp_wick,Low,3.0113,30120.0
crypto,1h,BTC_USD,2023-07-20 17:00:00,clamp_wick,Low,2.971,29716.69
crypto,1h,BTC_USD,2023-07-21 13:00:00,clamp_wick,Low,2.986,29813.99
crypto,1h,BTC_USD,2023-07-23 23:00:00,clamp_wick,Low,3.0058,30013.6
crypto,1h,BTC_USD,2023-07-24 03:00:00,clamp_wick,Low,2.971,29716.01
crypto,1h,BTC_USD,2023-07-24 10:00:00,clamp_wick,Low,2.9275,29178.0
crypto,1h,BTC_USD,2023-07-24 14:00:00,clamp_wick,Low,2.9094,29043.38
crypto,1h,BTC_USD,2023-07-25 18:00:00,clamp_wick,Low,2.9288,29264.01
