book,signal,family,horizon,t,null_sd,p_perm
top-20,D_dollar_vol_trend_21,D,5,0.656223550116362,0.8438159782718443,0.375
top-20,D_dollar_vol_trend_21,D,21,0.1947224458285807,0.7290497109684341,0.7916666666666666
top-20,E_neg_range_21,E,1,-1.440029901454818,0.43069836917423354,0.7916666666666666
top-20,E_neg_range_21,E,5,-1.8228548970140035,0.3063845982317873,0.9166666666666666
top-20,E_neg_range_21,E,21,-1.9083355243649052,0.5154471676734398,0.5833333333333334
top-20,E_close_position_21,E,1,-0.23358608194210062,1.009130666988006,0.875
top-20,E_close_position_21,E,5,1.1297710133450614,0.9286374451391246,0.2916666666666667
top-20,E_close_position_21,E,21,1.2137084256429702,0.868457182081112,0.25
top-20,E_neg_gap_21,E,1,-1.174803373839984,0.46487086345085654,0.4166666666666667
top-20,E_neg_gap_21,E,5,-1.6899254029375268,0.3536774453831132,0.5416666666666666
top-20,E_neg_gap_21,E,21,-2.000448607747077,0.6184392794855238,0.3333333333333333
top-20,E_amihud_range_21,E,1,-1.4951568883407678,0.4976459089605046,0.875
top-20,E_amihud_range_21,E,5,-1.785083025666885,0.3595131562259158,0.9583333333333334
top-20,E_amihud_range_21,E,21,-1.8464668440460428,0.46976972816933876,0.6666666666666666
top-20,E_neg_range_63,E,1,-1.935660284705608,0.4294451288665163,0.4583333333333333
top-20,E_neg_range_63,E,5,-2.209192286379364,0.2537436427650688,0.2916666666666667
top-20,E_neg_range_63,E,21,-2.196377109957295,0.331212070425887,0.4166666666666667
top-20,E_close_position_63,E,1,0.7970243421492181,0.7463645786478563,0.7083333333333334
top-20,E_close_position_63,E,5,0.9215759970165633,0.9156061631068092,0.4583333333333333
top-20,E_close_position_63,E,21,0.7209737774797661,0.7874739228695761,0.4583333333333333
top-20,E_neg_gap_63,E,1,-1.666244158348805,0.3224410827368918,0.125
top-20,E_neg_gap_63,E,5,-2.3503935742180695,0.3040856105620364,0.041666666666666664
top-20,E_neg_gap_63,E,21,-2.2968054566174145,0.31353138727548735,0.04
top-20,E_amihud_range_63,E,1,-1.849965274364169,0.4269355246196344,0.8333333333333334
top-20,E_amihud_range_63,E,5,-2.112116941910239,0.3494734266375755,0.4583333333333333
top-20,E_amihud_range_63,E,21,-2.1717086830969277,0.42477564293051606,0.4583333333333333
top-20,F_overnight_21,F,1,1.4252689934432163,0.8917366991478465,0.125
top-20,F_overnight_21,F,5,1.5446872600629384,0.5991881271651618,0.041666666666666664
top-20,F_overnight_21,F,21,-0.9201986014072852,1.077583879915241,0.2916666666666667
top-20,F_intraday_21,F,1,-0.6561736859707284,1.1159116285899162,0.5833333333333334
top-20,F_intraday_21,F,5,-0.6158517758489429,1.0038192450812415,0.5
top-20,F_intraday_21,F,21,-0.3245993741440338,0.7596825165035765,0.625
top-20,F_on_minus_id_21,F,1,1.702170732037706,0.9697069957670913,0.125
top-20,F_on_minus_id_21,F,5,1.2329311238040097,1.0278776286624165,0.20833333333333334
top-20,F_on_minus_id_21,F,21,-0.30617322056752766,0.7805444907817997,0.7083333333333334
top-20,F_on_share_21,F,1,0.193102268682638,1.1256656790118782,0.875
top-20,F_on_share_21,F,5,0.9150627725821958,0.8117219396101607,0.25
top-20,F_on_share_21,F,21,-2.272563840380183,1.1700268207174433,0.04
top-20,F_overnight_63,F,1,2.237133598058446,0.6922260520132357,0.041666666666666664
top-20,F_overnight_63,F,5,2.100288721976091,0.8279427422950798,0.041666666666666664
top-20,F_overnight_63,F,21,0.6353231853624055,0.8370564784629758,0.625
top-20,F_intraday_63,F,1,-0.1938929349238049,0.7990828410496298,0.9166666666666666
top-20,F_intraday_63,F,5,-0.12908618844542039,0.9423301191959664,0.9583333333333334
top-20,F_intraday_63,F,21,-0.3996323707416554,0.4885987546854084,0.4583333333333333
top-20,F_on_minus_id_63,F,1,1.299326858742226,0.6231263584310616,0.041666666666666664
top-20,F_on_minus_id_63,F,5,0.8198967859486286,0.8355657670689172,0.4166666666666667
top-20,F_on_minus_id_63,F,21,0.715944043087751,0.725852192494743,0.20833333333333334
top-20,F_on_share_63,F,1,0.5088805470431694,0.7137436984279952,0.4583333333333333
top-20,F_on_share_63,F,5,0.2641036811630528,0.9782294896769501,0.7083333333333334
top-20,F_on_share_63,F,21,-0.7588098961582753,0.87402218441608,0.375
top-20,F_overnight_252,F,1,2.1970977606993842,0.964962942988744,0.125
top-20,F_overnight_252,F,5,1.8109418954934176,0.7389088953125045,0.125
top-20,F_overnight_252,F,21,1.322619012390313,1.209721597253857,0.5416666666666666
top-20,F_intraday_252,F,1,0.8401323810647051,0.7160337379316287,0.16666666666666666
top-20,F_intraday_252,F,5,0.20024426546410815,0.7081852290615166,0.875
top-20,F_intraday_252,F,21,0.14280816218710915,0.614397836277607,1.0
top-20,F_on_minus_id_252,F,1,0.5576647901615095,1.2817626664577166,0.625
top-20,F_on_minus_id_252,F,5,1.1879279998298513,1.0997407784698696,0.5833333333333334
top-20,F_on_minus_id_252,F,21,0.8593820537646275,0.8896835987542713,0.5
top-20,F_on_share_252,F,1,0.26535735872795024,0.9017411563575337,0.8333333333333334
top-20,F_on_share_252,F,5,0.5233866044153248,1.1326945493094354,0.5416666666666666
top-20,F_on_share_252,F,21,-0.1301432942358056,0.7337549293815712,0.8333333333333334
top-20,G_neg_skew_63,G,1,0.9521733235610402,0.950131394169754,0.2916666666666667
top-20,G_neg_skew_63,G,5,-0.46576330938220123,1.250904542263151,0.8333333333333334
top-20,G_neg_skew_63,G,21,0.5582222132832386,0.8878388523289985,0.5
top-20,G_skew_63,G,1,-0.9521733235610402,0.9840410352644898,0.3333333333333333
top-20,G_skew_63,G,5,0.46576330938220123,1.1994371404942803,0.6666666666666666
top-20,G_skew_63,G,21,-0.5582222132832386,0.8833421362443047,0.4166666666666667
