timeframe,ticker,indicator,cost_bps,n_bars,bars_per_year,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,base_total_return,base_cagr,base_sharpe,excess_total_return,excess_cagr,excess_sharpe,beat_buyhold
5m,WMT,CDLTASUKIGAP,0.0,69708,19506.231258495893,-0.0035153153583419305,-35.153153583419304,-0.0009849445097522835,-0.08832791556815256,-0.023221935171263586,0.004805761175187927,112,31.341155134370148,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4460141359484724,-0.28487656808240547,-1.3590019392458474,False
5m,WMT,CDLTASUKIGAP,1.0,69708,19506.231258495893,-0.014613053731149739,-146.1305373114974,-0.00411089544702592,-0.38661485928893913,-0.026927208350883802,0.004805761175187927,112,31.341155134370148,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4571118743212803,-0.2880025190196791,-1.657288882966634,False
5m,WMT,CDLTASUKIGAP,5.0,69708,19506.231258495893,-0.0577923073688128,-577.923073688128,-0.01652027566494918,-1.5458035757661825,-0.059198806538177995,0.004805761175187927,112,31.341155134370148,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.5002911279589433,-0.30041189923760236,-2.8164775994438775,False
5m,WMT,CDLTASUKIGAP,10.0,69708,19506.231258495893,-0.10913787904383587,-1091.3787904383587,-0.031821614324992864,-2.7729320819298824,-0.10948346916235285,0.004805761175187927,112,31.341155134370148,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.5516366996339666,-0.31571323789764605,-4.043606105607577,False
5m,WMT,CDLTHRUSTING,0.0,69708,19506.231258495893,0.01658903195236694,165.8903195236694,0.004614668973281999,0.2460120956152752,-0.032457876925611195,0.017458541343891663,424,118.6486587229727,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4259097886377636,-0.2792769545993712,-1.0246619280624196,False
5m,WMT,CDLTHRUSTING,1.0,69708,19506.231258495893,-0.025613313550884476,-256.13313550884476,-0.007234510958781248,-0.362881073941735,-0.05038874902250501,0.017458541343891663,424,118.6486587229727,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.468112134141015,-0.29112613453143443,-1.6335550976194297,False
5m,WMT,CDLTHRUSTING,5.0,69708,19506.231258495893,-0.17765016797676025,-1776.5016797676026,-0.05326127291365479,-2.715751573736788,-0.1912932951784091,0.017458541343891663,424,118.6486587229727,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.620148988566891,-0.337152896486308,-3.986425597414483,False
5m,WMT,CDLTHRUSTING,10.0,69708,19506.231258495893,-0.3348467465690874,-3348.467465690874,-0.10782946448951802,-5.166654949598806,-0.34329001808552584,0.017458541343891663,424,118.6486587229727,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.777345567159218,-0.3917210880621712,-6.437328973276501,False
5m,WMT,CDLTRISTAR,0.0,69708,19506.231258495893,-0.0001094362711756558,-1.094362711756558,-3.062494927374981e-05,0.00204749523278248,-0.01419565131033862,0.002180524473518104,53,15.670577567185074,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4426082568613063,-0.28392224852192693,-1.2686265284449123,False
5m,WMT,CDLTRISTAR,1.0,69708,19506.231258495893,-0.005691875291716109,-56.918752917161086,-0.0015960425378692689,-0.15307743808718136,-0.019210353561532556,0.002180524473518104,53,15.670577567185074,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4481906958818467,-0.28548766611052245,-1.423751461764876,False
5m,WMT,CDLTRISTAR,5.0,69708,19506.231258495893,-0.027717724365786234,-277.17724365786233,-0.007834966508180163,-0.7716750148898789,-0.03902084302258979,0.002180524473518104,53,15.670577567185074,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4702165449559168,-0.29172659008083335,-2.0423490385675738,False
5m,WMT,CDLTRISTAR,10.0,69708,19506.231258495893,-0.05457837603759785,-545.7837603759785,-0.015582671304735451,-1.4854723368718292,-0.06427358253189452,0.002180524473518104,53,15.670577567185074,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4970771966277283,-0.29947429487738864,-2.7561463605495238,False
5m,WMT,CDLUNIQUE3RIVER,0.0,69708,19506.231258495893,-0.011453832625655469,-114.53832625655468,-0.0032184525603470293,-0.5113233388665154,-0.020726458631807554,0.0015349744649107706,36,10.073942721761833,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.453952653215786,-0.2871100761330002,-1.7819973625442103,False
5m,WMT,CDLUNIQUE3RIVER,1.0,69708,19506.231258495893,-0.015006309557924258,-150.06309557924257,-0.004222129750342973,-0.6715720339556185,-0.02326962421343992,0.0015349744649107706,36,10.073942721761833,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4575051301480548,-0.28811375332299616,-1.9422460576333131,False
5m,WMT,CDLUNIQUE3RIVER,5.0,69708,19506.231258495893,-0.029092508620226165,-290.92508620226164,-0.00822774194361664,-1.2779823806209378,-0.03337892671893661,0.0015349744649107706,36,10.073942721761833,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4715913292103568,-0.2921193655162698,-2.5486564042986326,False
5m,WMT,CDLUNIQUE3RIVER,10.0,69708,19506.231258495893,-0.04642504735855291,-464.25047358552905,-0.013214344926039345,-1.898110301029687,-0.046602748245805015,0.0015349744649107706,36,10.073942721761833,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4889238679486834,-0.29710596849869253,-3.1687843247073815,False
5m,WMT,CDLUPSIDEGAP2CROWS,0.0,69708,19506.231258495893,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4424988205901306,-0.2838916235726532,,False
5m,WMT,CDLUPSIDEGAP2CROWS,1.0,69708,19506.231258495893,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4424988205901306,-0.2838916235726532,,False
5m,WMT,CDLUPSIDEGAP2CROWS,5.0,69708,19506.231258495893,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4424988205901306,-0.2838916235726532,,False
5m,WMT,CDLUPSIDEGAP2CROWS,10.0,69708,19506.231258495893,0.0,0.0,0.0,,0.0,0.0,0,0.0,1.4424988205901306,0.2838916235726532,1.2706740236776948,-1.4424988205901306,-0.2838916235726532,,False
