timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
5m,10.0,LINEARREG_1000,20,-197517.12484377637,-0.9875856242188819,-0.9891076193161015,-0.7133770261424426,-6.233096599187784,-0.9881854867366477,-7.044961647461372,-0.9550477742634739,0.0,0.0,0.9729727788554579,1205.850943932926,3039.6,20,True,False,False
5m,10.0,LINEARREG_200,20,-199928.39582373723,-0.9996419791186864,-0.9997127208667287,-0.8966308775350624,-10.730444320280752,-0.9996688908870803,-11.542309368554339,-1.1383016256560938,0.0,0.0,0.9843058492929251,2239.7452822230453,4896.95,20,True,False,False
5m,10.0,LINEARREG_21,20,-199999.99999950523,-0.9999999999975261,-0.9999999999985072,-0.9994778966189244,-29.339212793325594,-0.9999999999975608,-30.151077841599186,-1.2411486447399558,0.0,0.0,0.986845030897269,7426.482592102408,14166.55,20,True,False,False
5m,10.0,LINEARREG_50,20,-199999.97753775606,-0.9999998876887803,-0.9999999247598517,-0.9891783954589204,-19.232687282760914,-0.9999998903912445,-20.044552331034502,-1.2308491435799518,0.0,0.0,0.9864290067926025,4477.699641264116,8897.7,20,True,False,False
5m,10.0,LINEARREG_9,20,-200000.0,-1.0,-1.0,-0.9999953533172679,-43.60809641138766,-1.0,-44.41996145966125,-1.2416661014382993,0.0,0.0,0.9870049850802634,12100.31630154301,22517.95,20,True,False,False
5m,10.0,LINEARREG_ANGLE,20,-199997.2517832146,-0.9999862589160731,-0.99998968605852,-0.9582822444015442,-14.967957598792953,-0.9999867362266885,-15.779822647066542,-1.1999529925225754,0.0,0.0,0.9869454505087403,3233.73561403043,6675.0,20,True,False,False
5m,10.0,LINEARREG_INTERCEPT_100,20,-199042.6438651243,-0.9952132193256216,-0.9953596479892995,-0.779744841399104,-7.40690794706889,-0.9955033353476622,-8.218772995342478,-1.0214155895201356,0.0,0.0,0.9857260695123038,1419.0827315749063,3431.6,20,True,False,False
5m,10.0,LINEARREG_INTERCEPT_1000,20,-188225.75568045003,-0.9411287784022502,-0.9487946538297766,-0.5557177739098037,-4.172982671457026,-0.9469936640128791,-4.984847719730615,-0.797388522030835,0.0,0.0,0.9729727788554579,741.0224367950087,2209.05,20,True,False,False
5m,10.0,LINEARREG_INTERCEPT_200,20,-196670.5001185873,-0.9833525005929366,-0.9849540727826738,-0.68655649379666,-5.770491952088205,-0.9841814523230509,-6.582357000361793,-0.9282272419176912,0.0,0.0,0.9843058492929251,1086.6706049115733,2836.65,20,True,False,False
5m,10.0,LINEARREG_INTERCEPT_21,20,-199998.18472692865,-0.9999909236346433,-0.9999927110019075,-0.9619586605850643,-14.690599387207993,-0.9999911469454051,-15.502464435481581,-1.2036294087060955,0.0,0.0,0.986845030897269,3257.493328948917,6717.45,20,True,False,False
