class,tf,rule,symbol,mult,excess_cagr,ir
us_stocks,1d,ibs,ADI,0.0,0.08027310729976778,0.1757563881816868
us_stocks,1d,ibs,ADI,0.5,0.07804978015757236,0.16787271193216138
us_stocks,1d,ibs,ADI,1.0,0.07583042580069899,0.15998512186042124
us_stocks,1d,ibs,ADI,2.0,0.07140360758787456,0.14419826905542596
us_stocks,1d,ibs,ADI,3.0,0.06699259707099858,0.12839596793304436
us_stocks,1d,ibs,ADI,5.0,0.05821777771881953,0.09674557783287961
us_stocks,1d,ibs,ADI,10.0,0.03655350932767032,0.0173590984396575
us_stocks,1d,ibs,ADM,0.0,0.038305250081379416,0.04931621761463847
us_stocks,1d,ibs,ADM,0.5,0.036166652821106426,0.040521621179836445
us_stocks,1d,ibs,ADM,1.0,0.034031982825821316,0.03172257086757395
us_stocks,1d,ibs,ADM,2.0,0.02977439631813783,0.01411120289406913
us_stocks,1d,ibs,ADM,3.0,0.02553243405941852,-0.0035176969634992962
us_stocks,1d,ibs,ADM,5.0,0.017095157291577623,-0.038827328788087805
us_stocks,1d,ibs,ADM,10.0,-0.003728526901978224,-0.12739472620438136
us_stocks,1d,ibs,ADP,0.0,0.02117040701006645,0.02362454277893766
us_stocks,1d,ibs,ADP,0.5,0.019157569287294507,0.013236406024667068
us_stocks,1d,ibs,ADP,1.0,0.017148204550997193,0.002841829063299813
us_stocks,1d,ibs,ADP,2.0,0.013139870542092424,-0.01796647701921568
us_stocks,1d,ibs,ADP,3.0,0.009145358089307498,-0.03880003684786496
us_stocks,1d,ibs,ADP,5.0,0.00119761105257421,-0.08054154976404551
us_stocks,1d,ibs,ADP,10.0,-0.018433132093142568,-0.18531305370519122
us_stocks,1d,ibs,ADS,0.0,-0.1342019956194349,-0.7216650813465626
us_stocks,1d,ibs,ADS,0.5,-0.13584523390989922,-0.730075210815263
us_stocks,1d,ibs,ADS,1.0,-0.13748590078683542,-0.7384889917240662
us_stocks,1d,ibs,ADS,2.0,-0.14075953604758573,-0.755327407519102
us_stocks,1d,ibs,ADS,3.0,-0.1440229328376117,-0.7721801272796543
us_stocks,1d,ibs,ADS,5.0,-0.15051913627880964,-0.8059276667972972
us_stocks,1d,ibs,ADS,10.0,-0.1665826541057348,-0.8905325006461453
us_stocks,1d,ibs,ADSK,0.0,-0.09412863195842491,-0.4504436101623601
us_stocks,1d,ibs,ADSK,0.5,-0.09603287929592508,-0.4573004075092608
us_stocks,1d,ibs,ADSK,1.0,-0.09793378905752714,-0.46415973966694973
us_stocks,1d,ibs,ADSK,2.0,-0.10172561879916886,-0.47788596183264903
us_stocks,1d,ibs,ADSK,3.0,-0.10550416697888187,-0.4916221832013872
us_stocks,1d,ibs,ADSK,5.0,-0.11302160106355208,-0.5191242473734075
us_stocks,1d,ibs,ADSK,10.0,-0.1315859350467421,-0.5880477620745536
us_stocks,1d,ibs,AEE,0.0,-0.017306076717352292,-0.1826401310011448
us_stocks,1d,ibs,AEE,0.5,-0.0191845145164522,-0.19423373744915723
us_stocks,1d,ibs,AEE,1.0,-0.02105970308547933,-0.20583549167490703
us_stocks,1d,ibs,AEE,2.0,-0.02480035457141949,-0.22906321683777425
us_stocks,1d,ibs,AEE,3.0,-0.028528075159763855,-0.2523228505776844
