class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling
crypto,1d,short,LINEARREG_SLOPE~TRIMA_50|and,10,5.925313475391181,-0.08539145833333328,1.2246381071960453,-0.1707978055555582,6,1.0,1.0,0.6654339115232419,0.3573624762065222,-21587.978111270288,0.0,0.5160312540967384,0.6886287265406748,-0.8481866033633076,-0.8671807197707126,1.5185481729238015,127.0,12911.03532549144,68337.69123629059,10693.375681561003,43840.8064757515,0.3,0.3510155247626379,0.6489844752373621,43.66062549185087,0.9980754202476068,1.5490772053838233,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,LINEARREG_SLOPE~TRIMA_50|vote,10,5.925313475391181,-0.08539145833333328,1.2246381071960453,-0.1707978055555582,6,1.0,1.0,0.6654339115232419,0.3573624762065222,-21587.978111270342,0.0,0.5160312540967384,0.6886287265406748,-0.8481866033633101,-0.8671807197707126,1.5185481729238006,127.0,12911.035325491373,68337.69123629059,10693.375681560849,43840.8064757515,0.3,0.3510155247626379,0.6489844752373621,43.66062549185087,0.9980754202476068,1.5490772053838233,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,ADD~TRIMA_50|and,10,5.925313475391181,-0.11029786666666667,1.0910342606413306,-0.24763062242614958,6,1.0,1.0,0.6729786445100082,0.340840066057476,-14693.044875858921,0.0,0.5874501410660724,0.6886287265406748,-0.8031287075373479,-0.8671807197707126,1.5745913795583608,148.0,12104.212404350634,68337.69123629059,17939.343528022724,43840.8064757515,0.2,0.369747882986913,0.630252117013087,49.809426435758795,0.997451903965143,1.3800781582094932,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,ADD~TRIMA_50|vote,10,5.925313475391181,-0.11029786666666667,1.0910342606413306,-0.24763062242614958,6,1.0,1.0,0.6729786445100082,0.340840066057476,-14693.044875858908,0.0,0.5874501410660724,0.6886287265406748,-0.8031287075373474,-0.8671807197707126,1.57459137955836,148.0,12104.212404350703,68337.69123629059,17939.343528022837,43840.8064757515,0.2,0.369747882986913,0.630252117013087,49.809426435758795,0.997451903965143,1.3800781582094932,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,ATAN~TRIMA_50|and,10,5.925313475391181,-0.11271178333333325,1.1434969748664165,-0.24144039139067436,6,1.0,1.0,0.6731543668330063,0.30018832186888805,-23681.79089301675,0.0,0.5354041814237936,0.6886287265406748,-0.8616537111483336,-0.8671807197707126,1.4718661016693364,164.0,17804.920614586666,68337.69123629059,13231.471223429391,43840.8064757515,0.2,0.37220105209135235,0.6277989479086477,55.03501407559013,0.9968618522425995,1.4464396361523288,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,ATAN~TRIMA_50|vote,10,5.925313475391181,-0.11271178333333325,1.1434969748664165,-0.24144039139067436,6,1.0,1.0,0.6731543668330063,0.30018832186888805,-23681.79089301677,0.0,0.5354041814237936,0.6886287265406748,-0.861653711148334,-0.8671807197707126,1.471866101669336,164.0,17804.920614586656,68337.69123629059,13231.471223429387,43840.8064757515,0.2,0.37220105209135235,0.6277989479086477,55.03501407559013,0.9968618522425994,1.4464396361523288,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,MULT~TRIMA_50|and,10,5.925313475391181,-0.1145782125,1.0814906958050152,-0.25951046768485736,6,1.0,1.0,0.6998614234676199,0.2957498950643624,-13564.507982488445,0.0,0.5619034803327081,0.6886287265406748,-0.8107070843955038,-0.8671807197707126,1.582946692951556,145.0,13122.171614214483,68337.69123629059,14618.504039280782,43840.8064757515,0.2,0.3667423659225045,0.6332576340774955,49.13503119197413,0.9975019821596617,1.3680062500603276,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,MULT~TRIMA_50|vote,10,5.925313475391181,-0.1145782125,1.0814906958050152,-0.25951046768485736,6,1.0,1.0,0.6998614234676199,0.2957498950643624,-13564.507982488305,0.0,0.5619034803327081,0.6886287265406748,-0.810707084395503,-0.8671807197707126,1.5829466929515563,145.0,13122.171614214516,68337.69123629059,14618.50403928086,43840.8064757515,0.2,0.3667423659225045,0.6332576340774955,49.13503119197413,0.997501982159662,1.3680062500603276,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,NATR,10,5.925313475391181,-0.11902789583333327,0.9435723912280441,-0.3089933667615655,6,1.0,1.0,0.3939623672461455,0.024634972033776334,-28722.961102490714,0.0,0.31361806311698764,0.6886287265406748,-0.8826827286980667,-0.8671807197707126,1.1821451560096565,202.5,3510.3283368873417,68337.69123629059,3347.46068700677,43840.8064757515,0.4,0.4258981267641776,0.5741018732358224,72.27721519361535,1.004735305698721,1.193549730562876,False,False,True,True,False,False,2,6,False,True,underpowered,False
crypto,1d,short,IMI~TRIMA_50|and,10,5.925313475391181,-0.1540489833333333,1.2147385385620484,-0.3106359044209267,6,1.0,1.0,0.5392257180324798,0.16567421611331046,-13596.860393949733,0.0,0.43126577582352005,0.6886287265406748,-0.8388667980781993,-0.8671807197707126,1.4384117310894873,172.0,10990.018123488615,68337.69123629059,5977.67059171379,43840.8064757515,0.3,0.3654907621247113,0.6345092378752887,57.90598140108871,0.9974616695573949,1.5365549785937644,False,False,True,True,False,False,2,6,False,True,underpowered,False
