class,tf,rule,symbol,floor,mode,cagr,excess_cagr,ir,vol,max_dd,mar,turnover_yr,weight
us_stocks,1d,ibs,AET,0.25,floor,0.1663437908293679,0.3544715948486312,0.7623696055258149,0.440505601874196,-0.7062909820606689,0.23551736473265536,30.00626738795762,0.53125
us_stocks,1d,ibs,AET,0.5,floor,0.04762028591496925,0.23574808993423257,0.7623696055258148,0.483620639381396,-0.8509632260620773,0.05596045100014155,20.004178258638415,0.6875
us_stocks,1d,ibs,AET,0.75,floor,-0.07145148233848031,0.11667632168078301,0.7623696055258149,0.5478284233903146,-0.9368524973826011,-0.07626759018960083,10.002089129319208,0.84375
us_stocks,1d,ibs,AET,1.0,floor,-0.18812780401926332,0.0,,0.6266788341714518,-0.9920769230769231,-0.1896302591494474,0.0,1.0
us_stocks,1d,ibs,AET,0.375,const,-0.03173262602270799,0.15639517799655533,0.020511142361825444,0.23500456281429444,-0.6864779098612357,-0.04622526896622559,0.0,0.375
us_stocks,1d,ibs,AFL,0.0,floor,0.20835974211862118,0.09289328143407771,0.20454982171949748,0.2335550001039916,-0.5446738015979593,0.3825404150288433,56.19799645790376,0.4480202190395956
us_stocks,1d,ibs,AFL,0.25,floor,0.19119908758307447,0.075732626898531,0.2045498217194976,0.2414480339122208,-0.6204400867301556,0.30816688294712263,42.14849734342782,0.5860151642796967
us_stocks,1d,ibs,AFL,0.5,floor,0.16990665943858896,0.05444019875404549,0.20454982171949743,0.2635131135692638,-0.6940981761492191,0.24478764716140383,28.09899822895188,0.7240101095197978
us_stocks,1d,ibs,AFL,0.75,floor,0.1446221778509751,0.029155717166431616,0.2045498217194975,0.2966040490321195,-0.7605562103595018,0.19015317458602393,14.04949911447594,0.8620050547598989
us_stocks,1d,ibs,AFL,1.0,floor,0.11546646068454347,0.0,,0.33749304543637276,-0.8271020524051236,0.1396036442525798,0.0,1.0
us_stocks,1d,ibs,AFL,0.4480202190395956,const,0.0653390469653663,-0.05012741371917717,-0.49438606025086645,0.1512037081407439,-0.4899323335914453,0.13336341058855802,0.0,0.4480202190395956
us_stocks,1d,ibs,AGN,0.0,floor,-0.09215610994801438,-0.015513837679873466,-0.2829060787408216,0.6574449135478723,-0.8395260249727222,-0.10977159397888672,54.019763252655174,0.4788001804239964
us_stocks,1d,ibs,AGN,0.25,floor,-0.053077087065928286,0.023565185202212624,-0.28290607874082135,0.6911741255406203,-0.8207333095938062,-0.06467032158375169,40.514822439491375,0.6091001353179973
