class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_etfs,1d,XLE,MIDPRICE_21,vector-reference,gross,5400,False,2481.5990557926725,2481.599055792672,1.8324771272981033e-16,True,,,,
us_etfs,1d,XLE,MIDPRICE_21,vector-reference,retail,5400,False,2237.2706713178077,2237.2706713178363,1.2805371953037696e-14,True,,,,
us_etfs,1d,XLE,MIDPRICE_21,vector-reference,wide,5400,False,1935.8649164509627,1935.8649164510146,2.6779346823484163e-14,True,,,,
us_etfs,1d,XLE,MIDPRICE_21,vector-reference,pessimistic,5400,False,1348.0773560366513,1348.0773560366467,3.373303088655263e-15,True,,,,
us_etfs,1d,XLE,MIDPRICE_21,vector-nautilus,gross,5400,False,2481.5990557926725,2481.65,2.0528782523775738e-05,True,2477.0,0.050944207327574986,0.7465420282877583,4.928368899971247
us_etfs,4h,DIA,KAMA_1000,vector-reference,gross,3286,False,12239.590698246404,12239.59069824635,4.458456451014679e-15,True,,,,
us_etfs,4h,DIA,KAMA_1000,vector-reference,retail,3286,False,12084.99465665581,12084.994656655723,7.224785268904935e-15,True,,,,
us_etfs,4h,DIA,KAMA_1000,vector-reference,wide,3286,False,11876.533078949367,11876.533078949386,1.5315828208906624e-15,True,,,,
us_etfs,4h,DIA,KAMA_1000,vector-reference,pessimistic,3286,False,11370.821898709253,11370.82189870927,1.439729227820463e-15,True,,,,
us_etfs,4h,DIA,KAMA_1000,vector-nautilus,gross,3286,False,12239.590698246404,12239.64,4.028055742302238e-06,True,686.0,0.049301753595500486,0.39287402561126383,0.9561956003308296
us_etfs,4h,TLT,T3_100,vector-reference,gross,3271,False,9403.72631751426,9403.726317514285,2.7080596339997967e-15,True,,,,
us_etfs,4h,TLT,T3_100,vector-reference,retail,3271,False,9224.509383252866,9224.509383252702,1.7747181938623686e-14,True,,,,
us_etfs,4h,TLT,T3_100,vector-reference,wide,3271,False,9015.221494068073,9015.221494068164,1.0088434348189421e-14,True,,,,
us_etfs,4h,TLT,T3_100,vector-reference,pessimistic,3271,False,8512.4094113632,8512.40941136306,1.6453882479626096e-14,True,,,,
us_etfs,4h,TLT,T3_100,vector-nautilus,gross,3271,False,9403.72631751426,9403.75,2.518415034697643e-06,True,1532.0,0.023682485740209813,0.5871115737234277,1.4917101999744773
us_etfs,4h,XLF,MINUS_DM,vector-reference,gross,3273,False,7766.604945634348,7766.604945634263,1.1007705756259949e-14,True,,,,
us_etfs,4h,XLF,MINUS_DM,vector-reference,retail,3273,False,7425.342221783525,7425.342221783517,1.1023670117106419e-15,True,,,,
us_etfs,4h,XLF,MINUS_DM,vector-reference,wide,3273,False,6954.11175868537,6954.111758685549,2.5764678864340435e-14,True,,,,
